Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2009-11-25,111.16999816894533,111.5,110.81999969482422,111.37999725341795,85.51752471923828,109564800,110.49099884033203,110.29611599573951,1.1166552069906874,63.40362734998023,1.1910138705704867,113.70282503302133,103.5271729833361,108.61499900817871
2009-11-27,108.4000015258789,110.31999969482422,108.29000091552734,109.56999969482422,84.12782287597656,126001800,110.54499893188476,110.16409485011854,0.49527737464295163,50.777721979356016,1.0619489568223344,113.78204183689753,103.73995599635442,108.76099891662598
2009-11-30,109.4800033569336,110.1999969482422,108.12000274658205,109.94000244140624,84.41190338134766,160874800,110.57699890136719,110.12335077580721,0.29191724758843607,52.9077359179159,0.978243628606549,113.51528429491528,104.64471402661793,109.0799991607666
2009-12-01,110.91999816894533,111.66000366210938,110.7300033569336,111.3000030517578,85.45610809326172,159613700,110.5859992980957,110.33728755325276,0.08093154215096883,59.98042898149323,1.010004532640977,113.38358075078946,105.47441790643711,109.42899932861329
2009-12-02,111.27999877929688,112.01000213623048,110.91999816894533,111.25,85.41773223876953,132315100,110.57699966430664,110.50323527084316,-0.08083019656072858,59.61466306627764,1.0193895612155615,113.12033218961773,106.39766631502096,109.75899925231934
2009-12-03,111.5500030517578,112.18000030517578,110.29000091552734,110.37999725341795,84.74972534179688,167324900,110.4879997253418,110.48082835858403,-0.7998556812250164,53.32786559323816,0.9457236002721174,112.56071125457004,107.50328715851589,110.03199920654296
2009-12-04,111.83999633789062,112.37999725341795,110.04000091552734,111.01000213623048,85.23344421386719,274907800,110.60699996948242,110.57704177270156,1.0835935573785551,56.97830137030469,0.9274874266487956,112.33465939332883,108.14533938596803,110.23999938964843
2009-12-07,110.91000366210938,111.52999877929688,110.48999786376952,110.83999633789062,85.1029052734375,127973800,110.74799957275391,110.62485169364503,1.2884912992622501,55.67271161507635,0.8890684528410446,111.97066477484017,108.88033391290398,110.42549934387208
2009-12-08,110.04000091552734,110.7699966430664,109.2699966430664,109.61000061035156,84.15853118896484,169863700,110.62699966430664,110.44033331486439,-1.0918598518360838,47.01284624985836,0.7507169657196897,111.96832771081108,108.88667106848578,110.42749938964843
2009-12-09,109.58000183105467,110.18000030517578,109.0199966430664,110.0199966430664,84.47332000732422,155063400,110.52999954223633,110.36390846544657,-0.8739537249957444,49.899183731178624,0.6664729830837075,111.95406828639605,108.9439305234184,110.44899940490723
