Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
334,44150436.0,275.6573,276.22,275.15,277.375,273.89,1674104400000,297577,274.58900000000006,274.29349442811366,3.541055166704285,51.651005817433095,0.4093881714643999,283.1378699131921,257.8241300868079,270.481
335,59456406.0,279.6007,276.79,282.68,283.02,275.71,1674190800000,328856,276.699,275.0559040255579,8.06636593011699,62.38310565469947,0.9998995327743501,284.8513432830754,257.4246567169246,271.138
336,52694905.0,287.6203,283.54,288.96,290.21,282.73,1674450000000,346605,278.71500000000003,276.31991275050717,7.499999999999988,68.80060203328875,1.9521246787263067,287.66487616208406,256.16212383791594,271.9135
337,44782566.0,288.441,287.31,288.37,289.55,286.78,1674536400000,276580,280.498,277.41537522773376,6.590522658386923,67.5967901467492,2.628858058845651,290.09041763643694,255.897582363563,272.99399999999997
338,50740022.0,284.973,283.77,287.73,288.36,281.18,1674622800000,368199,281.988,278.3530683888489,5.461276252611529,66.20069697343014,3.078049646587658,292.04634803638635,255.97865196361363,274.0125
339,51578585.0,291.1498,291.22,293.34,293.52,288.519,1674709200000,335981,283.567,279.71551671713536,5.689065033327315,71.86097488078335,3.8424242563959297,294.7178395400997,256.2831604599003,275.5005
340,56061439.0,295.5394,292.0,296.26,298.26,291.88,1674795600000,353740,285.288,281.2195606519412,6.1673535208743875,74.34564423601577,4.63043941500473,297.1827791315681,257.43422086843185,277.3085
341,48990333.0,291.9078,292.93,290.27,294.38,289.89,1675054800000,335765,286.21799999999996,282.0423278654011,3.3099619176424366,61.88963457515461,4.7172269106097815,298.48207997180197,258.51792002819803,278.5
342,46553106.0,292.6347,290.31,294.62,294.72,290.2,1675141200000,284927,287.52599999999995,283.1857526049101,4.645876252042332,66.4281941013054,5.078473787102553,300.2481869796009,259.58581302039914,279.91700000000003
343,67561373.0,297.2277,294.41,300.92,303.43,292.3,1675227600000,520594,289.83,284.79795691355463,8.291348783647626,71.82719912478993,5.8061917241028596,302.7305086642075,260.74749133579246,281.739
344,82677628.0,309.3617,307.57,311.72,313.68,306.73,1675314000000,565642,293.48699999999997,287.2454153759587,13.29093221878977,78.43351217094202,7.171712139426745,307.4491149670302,260.6268850329698,284.038
345,76001004.0,308.3953,304.94,306.18,312.39,304.54,1675400400000,543845,295.837,288.9667412508715,8.313287109098628,69.18663982468178,7.717898081467695,309.1889507656099,263.34704923439017,286.26800000000003
346,40360448.0,304.0705,303.51,303.59,305.91,302.22,1675659600000,312176,297.3,290.2961284098832,5.06298449612403,65.19410236580973,7.851258599232267,310.64045550739047,265.3745444926095,288.0075
347,67232681.0,306.0603,303.46,309.88,311.03,302.32,1675746000000,478275,299.451,292.07648037262106,7.459167042341433,69.8837108873006,8.368036684669164,313.0273275705936,266.9216724294063,289.9745
348,56720860.0,306.5197,308.54,304.37,309.5,303.67,1675832400000,353363,301.115,293.19407306601914,5.783199527334649,61.78154781240433,8.238013399075044,314.00466126961913,269.0983387303808,291.5515
349,49121118.0,304.5126,308.84,301.68,308.99,300.2,1675918800000,366838,301.94899999999996,293.9655209691083,2.8431172018817863,58.12599079425567,7.827675914360782,314.65847451539645,270.8575254846035,292.758
350,50010104.0,299.4663,299.48,299.7,301.57,297.25,1676005200000,359287,302.293,294.4868372446439,1.16114223992439,55.44304291105334,7.259033430161821,314.9428752566829,272.638124743317,293.79049999999995
351,39311470.0,303.4376,301.13,304.5,305.1,299.93,1676264400000,280021,303.716,295.3971247678581,4.902332311296386,60.37020885131097,7.113697769548253,315.7504550544306,274.1835449455694,294.967
352,64072457.0,304.7448,302.89,306.75,307.72,300.91,1676350800000,478453,304.929,296.4292043344164,4.117167877265629,62.52836601190526,7.098250197619677,316.6556060061754,275.79939399382454,296.22749999999996
353,43197298.0,307.0001,304.9,309.1,309.27,304.2,1676437200000,310911,305.747,297.5810948494695,2.7183304532766206,64.75573696846524,7.192720046420732,317.1114068982787,278.4655931017213,297.7885
354,58691130.0,306.0127,304.38,303.3,308.43,303.15,1676523600000,427603,304.905,298.1009953176995,-2.701142050558198,55.67955312866426,6.72208850292958,315.59799670770457,282.7940032922955,299.196
