Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
261,87780064.0,145.4907,145.03,146.1,146.22,144.26,1664856000000,687504,147.849,151.0812325207562,-6.883365200764826,42.12098168269751,-4.253939775769794,163.01975994946335,140.31124005053667,151.6655
262,79269968.0,145.2495,144.075,146.4,147.38,143.01,1664942400000,605861,147.117,150.65566592796017,-4.761904761904757,42.73518942525859,-4.065678522975787,162.58319370420188,139.79180629579812,151.1875
263,68308669.0,146.0741,145.81,145.43,147.54,145.22,1665028800000,538671,146.386,150.1806053890547,-4.785910697918032,41.16577236737166,-3.9492267890434505,162.2917057768007,139.18029422319933,150.73600000000002
264,85925559.0,140.7932,142.54,140.09,143.1,139.445,1665115200000,666459,145.352,149.26327762641338,-6.873628930399524,33.61469494785527,-4.238967148053234,161.88923029653603,137.854769703464,149.872
265,74899002.0,140.1978,140.42,140.42,141.89,138.5729,1665374400000,620863,144.31699999999998,148.45934329673943,-6.864760894077087,34.440426627678306,-4.391339598581652,159.68614367866007,137.7568563213399,148.7215
266,77001872.0,139.5393,139.9,138.98,141.35,138.22,1665460800000,608882,143.039,147.59758481521766,-8.421191354770691,32.481538534229955,-4.575547762402152,159.45694810939085,136.50005189060914,147.9785
267,69933744.0,139.0968,139.13,138.34,140.36,138.16,1665547200000,553185,141.88899999999998,146.7559861956524,-7.674853176721837,31.594132233683467,-4.718781534484833,158.82208792303481,135.43791207696518,147.13
268,113223975.0,139.7607,134.99,142.99,143.59,134.37,1665633600000,874139,141.94,146.41362381422945,0.3579449747333095,43.95510023267437,-4.4062862672050755,158.22652964632297,135.09547035367703,146.661
269,88597969.0,139.9229,144.31,138.38,144.52,138.19,1665720000000,689680,141.958,145.68329437657223,0.13024602026049698,36.658237601662826,-4.478988992074733,157.99054059052895,134.09945940947108,146.04500000000002
270,85250639.0,141.9529,141.065,142.41,142.9,140.27,1665979200000,634583,141.954,145.3857221605202,-0.028080028080022496,45.45361502227563,-4.163425725324998,156.82797842838042,134.05502157161956,145.4415
271,99130632.0,144.0619,145.49,143.75,146.7,140.61,1666065600000,785416,141.719,145.23702014592746,-1.6084873374401059,48.11532469882426,-3.7618485137652726,154.89515502798625,134.67284497201373,144.784
272,61757790.0,143.4441,141.69,143.86,144.9492,141.5,1666152000000,511348,141.465,145.1118364962977,-1.734972677595623,48.345230808592824,-3.39557749600462,153.53565229199944,135.04634770800055,144.291
273,64521989.0,144.2072,143.02,143.39,145.89,142.65,1666238400000,517760,141.26100000000002,144.9553059057252,-1.4027367118201337,47.34916867260667,-3.1074098610524743,152.21841578278003,135.42858421721996,143.8235
274,86548459.0,145.5191,142.87,147.27,147.8479,142.649,1666324800000,621571,141.97899999999998,145.16573264156835,5.1252766078949294,55.71778225011066,-2.5367097497817213,151.66682857717825,135.66417142282177,143.6655
275,75981918.0,148.3743,147.185,149.45,150.23,146.0,1666584000000,653020,142.882,145.55521149233488,6.430707876370889,59.71513481883935,-1.8867685258541087,151.38417333932318,135.81482666067683,143.5995
276,74682290.0,151.4347,150.09,152.34,152.49,149.36,1666670400000,581421,144.21800000000002,146.17201044757715,9.612893941574338,64.44301882778889,-1.125512370060619,151.5378799377681,135.71912006223184,143.62849999999997
